DAY,Section(DE),ROOM1,11,ROOM2,12,ROOM3,13,ROOM4,15,ROOM5,16,ROOM6,17
Monday,CRP_CS-1,A-LH-107,CRP(DE),X,X,X,X,X,X,X,X,X,X
Monday,CRP_CS-2,X,X,B-402,CRP(DE),X,X,X,X,X,X,X,X
Monday,CRP_CS-3,B-404,CRP(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-1,X,X,B-403,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-2,B-405,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-3,X,X,B-404,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-4,B-406,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-5,X,X,B-405,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-6,A-LH-003,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-7,X,X,B-406,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-8,A-LH-004,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-9,X,X,A-LH-003,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-10,A-LH-005,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-11,X,X,A-LH-004,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-12,B-201,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-13,X,X,B-202,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-14,B-202,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-15,X,X,B-203,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-16,B-203,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-17,B-204,AI(DE),X,X,X,X,X,X,X,X,X,X
Monday,AI_CS-18,X,X,B-204,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-19,X,X,B-205,AI(DE),X,X,X,X,X,X,X,X
Monday,AI_CS-20,X,X,B-206,AI(DE),X,X,X,X,X,X,X,X
