DAY,Section(DE),ROOM1,11,ROOM2,12,ROOM3,13,ROOM4,15,ROOM5,16,ROOM6,17
Monday,DA CS-33,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DA CS-34,X,X,A-LH-004,DA(DE),X,X,X,X,X,X,X,X
Monday,ML IT-1,X,X,X,X,A-LH-009,ML(DE),X,X,X,X,X,X
Monday,ML IT-2,A-LH-005,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,ML IT-3,X,X,X,X,A-LH-010,ML(DE),X,X,X,X,X,X
Monday,ML IT-4,A-LH-009,ML(DE),X,X,X,X,X,X,X,X,X,X
Monday,MC IT-1,X,X,X,X,X,X,X,X,X,X,X,X
Monday,MC IT-2,X,X,A-LH-005,MC(DE),X,X,X,X,X,X,X,X
Monday,MC IT-3,X,X,X,X,X,X,X,X,X,X,X,X
Monday,OT IT-1,X,X,B-201,OT(DE),X,X,X,X,X,X,X,X
Monday,ML CE-1,X,X,X,X,A-LH-105,ML(DE),X,X,X,X,X,X
Monday,IOT CE-1,X,X,X,X,B-405,IOT(DE),X,X,X,X,X,X
Monday,WSN CE-1,X,X,X,X,X,X,X,X,X,X,X,X
Monday,SCS CE-1,X,X,A-LH-010,SCS(DE),X,X,X,X,X,X,X,X
Monday,DA SE-1,A-LH-010,DA(DE),X,X,X,X,X,X,X,X,X,X
Monday,DA SE-2,X,X,X,X,A-LH-104,DA(DE),X,X,X,X,X,X
Monday,DMDW SE-1,X,X,X,X,X,X,X,X,X,X,X,X
Monday,DMDW SE-2,X,X,A-LH-009,DMDW(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-1,X,X,B-201,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-2,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-3,X,X,B-202,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-4,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-5,X,X,B-203,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-6,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-7,X,X,B-204,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-8,X,X,X,X,X,X,X,X,X,X,X,X
Tuesday,ML CS-9,X,X,B-205,ML(DE),X,X,X,X,X,X,X,X
Tuesday,ML CS-10,X,X,A-LH-104,ML(DE),X,X,X,X,X,X,X,X
